Acutal Distance(m), Minimum RSSI(dBm) ,Maximum RSSI(dBm),Average RSSI(dBm)
0.3,-53,-58,-56
0.6,-65,-70,-63
0.9,-68,-74,-70
1.2,-70,-76,-73
1.5,-71,-76,-72
1.8,-73,-79,-73
2.1,-73,-80,-74
2.4,-75,-82,-76
2.7,-78,-83,-78
3,-79,-85,-80
3.3,-81,-88,-80
3.6,-82,-89,-81
3.9,-80,-91,-81
4.2,-80,-92,-82
4.5,-82,-92,-83
4.8,-84,-93,-83
5.1,-85,-93,-84
5.4,-88,-94,-85
5.7,-88,-95,-85
6,-89,-95,-86
6.3,-91,-96,-86
6.6,-92,-97,-88
6.9,-92,-99,-88
7.2,-94,-103,-90
7.5,-96,-103,-91
7.8,-96,-104,-91
8.1,-98,-106,-92
8.2,-100,-109,-94
